arquivo,titulo_oficial,fonte_url,origem_institucional,camada,prioridade,tipo_documental,escopo_usuario,versao_sei_referida,ano,peso_autoridade,status_download,status_ingestao,observacao_de_conflito,scope_instance,module_tags,hash_sha256,data_download
NUCLEO_P1_decreto_instituicao_sei_rio_57250_2025.pdf,Decreto Rio nº 57.250 de 19 de novembro de 2025,https://sei.rio/wp-content/uploads/sites/2/2025/11/Decreto-SEI-57250.pdf,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,decreto,ambos,SEI.Rio 2025,2025,maximo,baixado_pdf_oficial,ingerido_ativo,Nucleo normativo principal do SEI.Rio,SEI.Rio,,9ac89789d1089c579fa215022129b9c1c36af9cf1162e0a5b22935107405f5b0,2026-04-04
NUCLEO_P1_decreto_substituicao_processo_rio_55615_2025.pdf,Decreto Rio nº 55.615 de 1º de janeiro de 2025,https://aplicnt.camara.rj.gov.br/APL/Legislativos/scpro.nsf/8446f2be3d9bb8730325863200569352/2787d701335f49a503258cf4006edb3f?Collapse=1.1&Count=100&OpenDocument=&Start=1,Câmara Municipal do Rio de Janeiro,nucleo,P1,decreto,ambos,SEI.Rio 2025,2025,maximo,capturado_texto_integral_fonte_institucional_secundaria_em_pdf,ingerido_ativo,Texto integral do decreto reproduzido em fonte institucional secundária da Câmara; substituir por PDF oficial do Executivo se localizado,SEI.Rio,,6132d085b735c7ff485c7c3e5327a3126bc57f7838cf4821ef0bfb31215ca207,2026-04-04
NUCLEO_P1_resolucao_numeracao_processos_cvl_237_2025.pdf,Resolução CVL nº 237 de 19 de novembro de 2025,https://sei.rio/wp-content/uploads/sites/2/2025/11/Resolucao-CVL237.pdf,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,resolucao,interno,SEI.Rio 2025,2025,maximo,baixado_pdf_oficial,ingerido_ativo,Alta relevancia para numeracao e identificacao de orgaos no NUP municipal,SEI.Rio,,22e5f4255a03fcf29534b9d2c3681c4f7196af06cbb339e132c8372da33cd2fe,2026-04-04
NUCLEO_P1_guia_usuario_interno_sei_rio_2025.pdf,Guia do usuário interno – SEI.Rio,https://sei.rio/servidor/guias-e-ambiente-de-teste/guia-do-usuario-interno/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,interno,SEI.Rio 2025,2025,maximo,capturado_serie_html_oficial_em_pdf,ingerido_ativo,Versao final consolidada a partir da serie oficial de capitulos idpost,SEI.Rio,,01e2c2b761136e85dae1ccf8b797426f11da8c869cdea79939070f084254d122,2026-04-04
NUCLEO_P1_guia_migracao_sei_rio_2026.pdf,Guia de migração – SEI.Rio,https://sei.rio/servidor/guias-e-ambiente-de-teste/guia-de-migracao/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,interno,SEI.Rio 2026,2026,maximo,capturado_serie_html_oficial_em_pdf,ingerido_ativo,Versao final consolidada a partir da serie oficial de capitulos idpost,SEI.Rio,migracao,ec0dd82b54ce34ddf5aa893f7ff561ce2dfeaef9e7892d0ecd9dae625cd23220,2026-04-04
NUCLEO_P1_guia_usuario_externo_sei_rio_2025.pdf,Guia do usuário externo – SEI.Rio,https://sei.rio/cidadao/guia-do-usuario/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P1,guia,externo,SEI.Rio 2025,2025,maximo,capturado_serie_html_oficial_em_pdf,ingerido_ativo,Versao final consolidada a partir da serie oficial de capitulos idpost,SEI.Rio,usuario_externo,1a33a589165b82131f55b4fefb28ae13882ce34a0d50e8c11f77d56179b40cce,2026-04-04
NUCLEO_P2_faq_servidor_sei_rio_2025.pdf,Perguntas frequentes do servidor – SEI.Rio,https://sei.rio/servidor/faq/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,faq,interno,SEI.Rio 2025,2025,alto,capturado_html_oficial_em_pdf,ingerido_ativo,Complemento local seguro para duvidas operacionais recorrentes,SEI.Rio,,0c5ca154cd5e5fec0a086a3865952786587b2379b8af7cb466703ce8162d9a7e,2026-04-04
NUCLEO_P2_termo_uso_aviso_privacidade_sei_rio_2025.pdf,Termo de Uso e Aviso de Privacidade do SEI.Rio,https://sei.rio/wp-content/uploads/sites/2/2025/11/Termo-de-uso-e-Aviso-de-Privacidade-SEI.rio-publicado.docx.pdf,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,termo,externo,SEI.Rio 2025,2025,alto,baixado_pdf_oficial,ingerido_ativo,Suporte normativo-operacional para usuario externo e dados pessoais,SEI.Rio,usuario_externo|privacidade,6e897f3fcbd600499b804e8123bdbd6758bee00db615cbc4362db211ca98632b,2026-04-04
NUCLEO_P2_faq_cidadao_sei_rio_2025.pdf,Perguntas frequentes do cidadão – SEI.Rio,https://sei.rio/cidadao/faq/,Prefeitura da Cidade do Rio de Janeiro,nucleo,P2,faq,externo,SEI.Rio 2025,2025,alto,capturado_html_oficial_em_pdf,ingerido_ativo,Complemento local seguro para credenciamento e gov.br,SEI.Rio,usuario_externo,1c33c2f4414e25d6a7ef8b171524e8180a0e2a0538a91bf7ea0d7ac8f2ba7555,2026-04-04
COBERTURA_P2_manual_usuario_pen_sei_4_0_plus.pdf,Manual do Usuário SEI 4.0+,https://manuais.processoeletronico.gov.br/pt-br/latest/SEI/index.html,Processo Eletrônico Nacional,cobertura,P2,guia,ambos,SEI 4.0+,2026,alto,capturado_html_oficial_em_pdf,ingerido_ativo,Nao deve sobrepor regra local do SEI.Rio; complementar ao nucleo local,Processo Eletrônico Nacional,,ad891f73dea61d61130acc01a1672336d1464e043d087a9bf5c76e5514b7dfa1,2026-04-04
COBERTURA_P2_modulos_pen_documentacao_oficial.pdf,Documentação de apoio do SEI/PEN,https://wiki.processoeletronico.gov.br/pt-br/latest/Sistema_Eletronico_de_Informa%C3%A7%C3%A3o_SEI/Documentacao_de_Apoio.html,Processo Eletrônico Nacional,cobertura,P2,nota_tecnica,ambos,SEI 4.x-5.x,2026,alto,capturado_html_oficial_em_pdf,ingerido_ativo,Usar para governanca de versao e apoio oficial com precedencia inferior ao nucleo,Processo Eletrônico Nacional,modulos_pen,a2407729f70c0d5fd8616e87ec3c72b8244a6c09b2f48540bcabdc3264a25c81,2026-04-04
COBERTURA_P2_nota_compatibilidade_pen_sei_4_1_5_2025.pdf,Nota oficial MGI sobre a versão 4.1.5 do SEI,https://www.gov.br/gestao/pt-br/assuntos/gestaoeinovacao/informacoes-sistemas-e-servicos-de-gestao/processo-eletronico-nacional/noticias/2025/ministerio-da-gestao-lanca-versao-4-1-5-do-sei-com-melhorias-e-novas-funcionalidades,Ministério da Gestão e da Inovação em Serviços Públicos,cobertura,P2,nota_tecnica,ambos,SEI 4.1.5,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Governanca de versao; nao e manual operacional primario,Processo Eletrônico Nacional,,33d40b8f836abf213729a6df1f02cdd933335ec2d3041d739036d79ad6c3b59a,2026-04-04
COBERTURA_P2_nota_compatibilidade_tramita_sei_4_x_e_5_x_2025.pdf,Painel de compatibilidade de versões do SEI com módulos do PEN,https://www.gov.br/gestao/pt-br/assuntos/gestaoeinovacao/informacoes-sistemas-e-servicos-de-gestao/processo-eletronico-nacional/noticias/2025/consulta-rapida-painel-mostra-quais-versoes-do-sei-funcionam-com-modulos-do-pen,Ministério da Gestão e da Inovação em Serviços Públicos,cobertura,P2,nota_tecnica,ambos,SEI 4.x-5.x,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Governanca de compatibilidade; apoiar respostas sobre modulos e versoes,Processo Eletrônico Nacional,tramita_govbr|modulos_pen,85af8b9802f848fd78f43963b6b4094b2db4ab38b9f33de4ab694c13b58389c8,2026-04-04
COBERTURA_P2_nota_oficial_sei_5_0_2025.pdf,Nota oficial MGI sobre o SEI 5.0,https://www.gov.br/gestao/pt-br/assuntos/gestaoeinovacao/informacoes-sistemas-e-servicos-de-gestao/processo-eletronico-nacional/noticias/2025/sei-5-0-nova-versao-do-sistema-eletronico-de-informacoes-sei-aprimora-usabilidade-seguranca-e-experiencia-do-usuario,Ministério da Gestão e da Inovação em Serviços Públicos,cobertura,P2,nota_tecnica,ambos,SEI 5.0,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Documento de mudanca de interface e autenticacao; nao e fonte principal de procedimento local,Processo Eletrônico Nacional,versionamento|interface,85bc9e98ba2d4621576a356ca9bfb97eb5dc99cf629b29cbb40f0d2e13a9a366,2026-04-04
COBERTURA_P2_nota_oficial_sei_5_0_3_2025.pdf,Nota oficial MGI sobre o SEI 5.0.3,https://www.gov.br/gestao/pt-br/assuntos/gestaoeinovacao/informacoes-sistemas-e-servicos-de-gestao/processo-eletronico-nacional/noticias/2025/gestao-disponibiliza-versao-5-0-3-do-sei-e-versoes-compativeis-do-tramita-gov-br-e-outros-modulos,Ministério da Gestão e da Inovação em Serviços Públicos,cobertura,P2,nota_tecnica,ambos,SEI 5.0.3,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Documento de governanca de versao e compatibilidade; manter precedencia inferior ao nucleo local,Processo Eletrônico Nacional,versionamento|modulos_pen,4ecddf45d494ff29f203d5ce63b970c8c59ba5d4f317ec99b8c1c5ab88f35d7d,2026-04-04
APOIO_P3_novidades_interface_wiki_sei_rj_4_1.pdf,Novidades da versão 4.1 – Wiki SEI-RJ,https://wikisei.rj.gov.br/Novidades_-_SEI_4.1,Governo do Estado do Rio de Janeiro,apoio,P3,wiki,interno,SEI 4.1,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Apenas apoio visual/versionado; nao governa regra local do SEI.Rio,SEI-RJ,interface_update,ce3e19fd500b2ba0554ea4110159fa5694e830ba64d090c60644d063855f790b,2026-04-04
APOIO_P3_correspondencia_icones_ufscar_sei_4_0.pdf,Correspondência de Ícones SEI => SEI 4.0,https://www.portalsei.ufscar.br/duvidas-frequentes/sei-4.0/correspondencia-de-icones-sei-sei-4.0,Universidade Federal de São Carlos,apoio,P3,wiki,interno,SEI 4.0,2025,medio,capturado_html_oficial_em_pdf,ingerido_ativo,Apoio visual para transicao de interface entre SEI legado e SEI 4.0; nao governa regra local do SEI.Rio,SEI-UFSCar,interface_update,bd509463da5ed94e1e590b05fb0e3287f993f9e9674a90d0f6230eb195ac4a02,2026-04-04
